product_name,review_date,reviewer_name,reviewer_gender,reviewer_total_reviews,helpful_badge,award_count,review_title,review_content
Eros Flame,04/08/2011,Behaviour,M,20,,1,Coney Island for the Small Wallet,"for me this is the budget version of my beloved Bond9 Coney Island - let's say it smells similar, but of course it doesn't last nearly as long.
Citrusy-Gourmand - for the price, it's definitely good!
It definitely lasts from the gym back home and no less long than Maitre Bahiana."
Eros,05/17/2015,Meggi,M,1018,HELPFUL REVIEW,32,Revenge,"She lay completely still. It was almost dark; only a single oil lamp cast its feeble glow through the room. She was cold, even though it was a very warm evening. The women had just left, and a half-dozen mutilated servants had carried the large tub away. In the air and on her skin lingered a slightly soapy scent of roses and saffron, which could have been delightful. Her body had been thoroughly washed, shaved, anointed, and perfumed. What a ridiculousness that she was cleaned just to be soiled again right after.

For he would come to her again today: she had only been in the palace for a few days. As long as his ardor lasted, he came every evening to his latest wife, it was said. Until he wanted the next one and discarded the previous one among the others.

Most families that received the message - rather the command - from the Sultan to give him their daughter in marriage bowed down, perhaps feeling it was an honor. But not all; and her kin, led by her mother, had not complied. A brave, strong woman who had known what awaited her daughter and had wanted to spare her such a fate. Especially since a wedding with a lover was imminent. It had done no good, but a family and this time even a fiancé had been accused of a despicable offense, and for their resistance had to pay with their lives.

It was hard to believe that as a little girl she had envied the women of the Sultan. For the lavish, days-long wedding celebrations, for example. Or when a palanquin glided through the streets as if it had floated out of a fairy tale, surrounded by an incomprehensible fragrance of rose petals and gentle spices. She had imagined being cared for by dozens of willing hands. There had been no golden cage or groping fingers in her childish thoughts.

He would have bathed as well, would be perfumed with the scent of fiery spices, which nevertheless could not conceal his true filth. He never wasted much time. He would throw off his garment, pull down her blanket, and roughly knead her breasts for a moment. Then he would push his powerful belly against her and shove her legs aside. If they did not obey immediately, clumsy hands would help with brute force, and he would take possession of her. Well, he would believe he was taking possession of her, as only such a man might think. But he would never possess her; her innermost self remained hers.

After each time, she had to think of her lover with tears of pain and sorrow in her eyes and of the only secret time when he had been able to come to her. As clueless as they had been, as awkward the hands of young people must have been, they had touched each other so tenderly and sensitively, so lovingly, later passionately and impetuously. She had willingly let him in - what could happen, just a few days before the wedding? It had been unexpected, a little frightening. And wonderful. Quickly, their kisses had to stifle the sounds of both.

She shuddered and pulled the thin blanket tighter around herself at the thought of what nightmare it had now become. And she could count herself lucky that the Sultan had not noticed that he was by no means the first. The days and nights since the pompous wedding had passed like behind a veil of dull horror. But the day before yesterday morning, she had woken up with a completely clear mind and had known what to do.

After a short time above her, he would start grunting like one of the wild boars from the forests. The smell of his sweat would invade her nose. And although it would be the mild, fresh scent of an outwardly clean body, she would feel covered in animalistic stench when the little streams sprang from his sides and his heated belly and laid a slippery film over her body. Then, all of a sudden, it would be over. Almost.

She had thought everything through carefully. With two fingers of her right hand, she would feel for the right ribs beneath the leathery bulges on his back. Yesterday she had tried it; with some pressure, it worked. He would take her firm grip for the excitement that the other women had advised her to feign, and would grin foolishly and self-satisfied. He truly believed he was providing pleasure! As soon as he lay exhausted on her, she could take the stolen knife from the kitchen - it was already under the pillow - and stab it through his heart from behind her fingers. And when she had rolled him off her, it would graciously take her own life as well.

The door opened, and a beam of light fell into the room. A moment later, a shapeless silhouette darkened the light."
Eros,05/05/2014,Dobbs,F,100,,23,Versatile Surprise,"Angelliese, oh Angelliese, what have you done? You lavish me with beautiful samples from Rasasi and El Nabil, and I fear I won't be able to sleep peacefully without one or the other from the collection. However, the Sultan won't keep me awake anymore, as it will be arriving at my place tomorrow. A quick decision that I surely won't regret after wearing it enthusiastically three times.

What kind of magic water is this that captivates me so? Musc Sultan starts with a surprise that you wouldn't necessarily expect given the fragrance notes listed above: a wonderfully fresh, juicy lemon opening that doesn't come across as ethereal-light like a cologne, but somehow thicker, more substantial... I don't know how to express it. This so-called ""meaty"" lemon gradually becomes sweeter, accompanied by a lovely, delicate rose that forms a very harmonious connection with the lemon. This is soon complemented by spicy-sweet saffron, which increasingly takes the lead in the fragrance journey. A very successful, balanced composition for my nose.

Only after about an hour does the namesake musk begin to emerge more prominently, initially in a well-balanced interplay with the spicy saffron, then infused with more woody notes. For a while, the musk even takes on a slightly animalistic direction until it finally develops into the musk that I love so much: warm, soft, trustworthy, sensual.

Who would have thought? A truly high-quality smelling perfume without a hint of cheap synthetic notes, an exciting, versatile fragrance development, very good longevity, strong sillage up to the rather skin-close musky finale... and all of this for under €20 for 50 ml - what more could one want?"
Versace pour Homme Oud Noir,10/07/2019,Gelis,F,328,,8,Monoi Tiaré and nothing else,"At first, I perceive floral notes. Initially, I think of carnation, but then Tiaré crystallizes: very floral, radiant, with a hint of a fruity note. A delicate fruity sweetness also dances around my nose for a brief moment. Oh dear! My usual three spritzes are way too much; I'm almost crossing the line into a headache. Vanilla pod and vanilla absolute have made my eyes shine and caused me to push away the voice from my subconscious: Monoï?! There was something, and it wasn't good...?! Coconut body oil ""Monoï Tiaré"" bought many, many years ago and used once. For me, it’s an overwhelming, radiant, all-consuming, crushing floral scent. How could I have suppressed that so much?

Additionally, I don't perceive any vanilla at all, really nothing. It remains Tiaré and nothing else. It becomes weaker over time and slowly more bearable, but that doesn't change much for me. Mostly, I am just annoyed with myself.

The poor rating is partly due to my perception of this flower, but also to the fact that I can't detect anything vanilla-like even in the drydown.

So, Monoï Tiaré enthusiasts: You will find what you’re looking for here.

Addendum: Here too, it is stated: 95% of the ingredients are of natural origin."
Eros Energy,10/13/2017,Vroni72,F,3,,4,My Fresh Favorite,"It’s an autumn day, I open the package and there it is:
a beautiful bottle, well crafted, but what I’m even more excited about is the content. I spray it on and there it is ...really beautifully fresh, amazing!
What I smell are lemon, mandarin, simply wonderful. It is very fresh but not intrusive, nothing piercing, which I don’t like. I wait... this pleasant freshness remains, what I notice later is the apple that comes in. Hours later I still smell it... a pleasant very soft freshness and a very light woody note.
I believe it has become my new favorite scent :)"
Versense,10/22/2022,Silvana262,F,42,,3,The Fascination of Light Anise Opening New Worlds,"This was a blind purchase.

It was such that my nose did not want to leave the wrist.
It’s like a high...
The fascination of opening new worlds within me and my perception...
New galaxies ...
An explosion of everything ...

The beginning starts with this wonderful raspberry with a hint of lemon in the background.
Right after that, anise combines with the creamy note, which develops very softly and almost balsamically warm.
Then the light, not overpowering vanilla with a minimal touch of warm and slightly green benzoin that also feels balsamic. And then the bright, light wood.
The entire progression of the notes is balsamic, warm, very rounded, light, and not intrusive.
Since my skin softens many sweet to extremely sweet fragrance notes and transforms many notes into a slightly bitter tone, I also did not have a carnival experience with this one!!!"
Versace L'Homme,04/22/2022,Fujin,M,8,,0,The Pool Boy Stopped By...,"The Pool Boy came by today with greetings from Xyrena.
I think he was on a Dark Ride before and got quite wet there...

He slathered a load of sunscreen on his skin and laid out in the sun with a bowl of flavored candies.

He's quite nice, but I hope he doesn't stay too long."
Versace pour Femme Dylan Blue,10/22/2022,Silvana262,F,42,,3,The Fascination of Light Anise Opening New Worlds,"This was a blind purchase.

It was such that my nose did not want to leave the wrist.
It’s like a high...
The fascination of opening new worlds within me and my perception...
New galaxies ...
An explosion of everything ...

The beginning starts with this wonderful raspberry with a hint of lemon in the background.
Right after that, anise combines with the creamy note, which develops very softly and almost balsamically warm.
Then the light, not overpowering vanilla with a minimal touch of warm and slightly green benzoin that also feels balsamic. And then the bright, light wood.
The entire progression of the notes is balsamic, warm, very rounded, light, and not intrusive.
Since my skin softens many sweet to extremely sweet fragrance notes and transforms many notes into a slightly bitter tone, I also did not have a carnival experience with this one!!!"
Eros pour Femme,10/19/2022,LorenzoYann,M,36,,2,The masculine rose,"So many brands trying to market the next big thing as ""a masculine rose"" this and that.. in my very personal and humble opinion this has already been done in the past and this fragrance is one of very few of them. The first time I smelled it, so many years ago, I had a medicinal feel from it and despite having acquired it only recently it has been growing on me secretly over these years. I happened that not so long ago I tried it again in the store and I was baffled by how good was the aroma I was getting: fresh leather, still a little of that medicinal undertone and very light smoke, then it popped into my mind so clearly: this openness, this breeze is coming from a rose accord! Of course I should have noticed it earlier but back in the day I knew rose was there and it just blended in like in many woody orientals, let's call them this way. Too bad on my skin the rose shines too much, and therefore I wish to test the ""flankers"" (arabie, maroc etc..) to see if they lean even more into that perfect middle ground this is already very close to."
Eros pour Femme,03/21/2020,Minigolf,F,2512,HELPFUL REVIEW,6,"Of Roses, Woods, Smoke, and Spices","Whether it smelled like this or something similar in ancient Alexandria is up for debate. However, this fragrance does have quite a bit of ""old exotic"" about it.
First and foremost, there are the spicy rose scents that play the leading role with their aroma. Surrounded by numerous ornaments of balsamic, smoky, and woody elements. And as for the ""old exotic"": La Fumeé Alexandrie largely avoids ""modern"" ingredients like aldehydes, molecular building blocks, and cashmeran or similar.
From what I know about the now seriously regarded aromatherapy, primarily natural and nature-identical fragrance substances can have a significant positive influence on body, mind, and soul. What the ""artificial"" ones can either not do at all or only to a limited extent.
It is no coincidence that rose scent is a fragrance of calmness and confidence. It has the ability, in whatever way, to ""smooth the waves"" in times of inner unrest or fear.
In combination with ""grounding"" scents like balsams and woods, this effect can be further enhanced.
And with spices like vanilla and cinnamon, gentleness and mindfulness are conveyed. So much for the aromatherapeutic applications.
Possible conclusion: Perhaps such fragrance compositions help, especially in critical times like these, to convey a bit of self-confidence, mindfulness, and comfort in a natural way. When looking at the history of perfume over several centuries (or the last approximately 100 years), it somehow stands out that during and after times of crisis, certain fragrance combinations were the most used. And in ""carefree"" times, characteristically different ones.
For me, at least, Fumee Alexandrie is a wonderful and imaginative ""soul comforter."""
