product_name,brand_name,target_gender,release_year,top_notes,heart_notes,base_notes
Legend Spirit,Montblanc,M,2016,"Bergamot, Grapefruit, Pink pepper","Aquatic notes, Cardamom, Lavender","White musk, Cashmere wood, Cedar, Oakmoss, Sandalwood"
Explorer,Montblanc,M,2019,"Italian bergamot, Pink pepper, Sage","Haitian vetiver, Leather","Ambroxan, Akigalawood®, Indonesian patchouli, Cocoa"
Individuel,Montblanc,M,2003,"Juniper berry, Bergamot, Cinnamon, Lavender, Mint, Coriander, Rosemary","Geranium, Orange blossom, Jasmine, Violet","Raspberry, Vanilla, Amber, Musk, Oakmoss, Patchouli, Sandalwood, Tonka bean, Dark chocolate, Vetiver"
Signature,Montblanc,F,2020,Clementine,"Magnolia, Ylang-ylang, Peony","White musk, Vanilla, Benzoin"
Legend,Montblanc,M,2011,"Bergamot, Citrus fruits, Lavender","White cedar, Jasmine, Rose","Evernyl, Tonka bean, Sandalwood"
Starwalker,Montblanc,M,2005,"Bamboo, Bergamot, Mandarin orange","Fir resin, Ginger, Nutmeg, Amber","Sandalwood, Cedar, Musk"
Legend,Montblanc,M,2020,,,
Legend Night,Montblanc,M,2017,"Sage, Bergamot","Lavender, Violet, Vetiver","Vanilla, Cedarwood, Patchouli"
Explorer Platinum,Montblanc,M,2023,Violet leaf,Clary sage,Cedarwood
Explorer Ultra Blue,Montblanc,M,2021,"Italian bergamot, Citrus fruits, Pink pepper","Marine notes, Ambergris","Leather, Woody notes, Indonesian patchouli"
Présence,Montblanc,M,2001,"Cinnamon, Cardamom, Ginger, Bergamot","Apple, Heliotrope, Sage","Sandalwood, Tonka bean, Amber, Musk, Teakwood"
Legend Red,Montblanc,M,2022,"Blood orange, Grapefruit, Cardamom","Cedar, Juniper berry, Clary sage","Atlas cedar, Mahogany wood, Tonka bean"
Emblem,Montblanc,M,2014,"Cardamom, Clary sage, Grapefruit","Violet leaf, Cinnamon leaf","Tonka bean, Woody notes"
Legend Intense,Montblanc,M,2013,"Pineapple, Bergamot","Red apple, Cardamom, Jasmine","Tonka bean, Ambergris, Oakmoss, White cedar"
Explorer Extreme,Montblanc,M,2025,Bergamot,"Vetiver, Patchouli","Amber, Leather"
Legend Blue,Montblanc,M,2024,"Lavender, Spearmint","Cedarwood, Sandalwood","Ambroxan, Moss"
Signature Absolue,Montblanc,F,2023,"Williams pear, Mandarin orange","Ylang-ylang, Tuberose","Amber, Tonka bean, Cedar"
Femme de Montblanc,Montblanc,F,2006,"Bergamot, Cardamom, Cinnamon, Pineapple","Heliotrope, Jasmine, Orange blossom, Rose","Dark chocolate, Musk, Raspberry, Amber, Patchouli, Vetiver, Peach"
Black Meisterstück,Montblanc,F,2024,Frankincense,Ambrofix,Vetiver
Legend pour Femme,Montblanc,F,2012,"Bitter orange, Neroli, Pear","Orange blossom, Jasminum auriculatum, Lily of the valley","Musk, Woody notes, Vanilla"
Présence d'Une Femme,Montblanc,F,2002,"Mandarin orange, Pepper","Cyclamen, Orchid","Rosewood, Sandalwood, Vanilla, Mahogany, Patchouli"
Emblem Intense,Montblanc,M,2014,"Cardamom, Clary sage, Coriander","Pomarose®, Violet leaf, Nutmeg, Cinnamon","Suede, Tonka bean, Precious woods, Patchouli"
Patchouli Ink,Montblanc,F,2024,,,
Extreme Leather,Montblanc,F,2024,Saffiano™,Iris,Musk
Lady Emblem,Montblanc,F,2015,"Pink rose, Redcurrant jam, Peach","Brazilian rosewood, Patchouli, Sandalwood","Raspberry, Musk"
Femme Individuelle,Montblanc,F,2004,"Bay leaf, Currant, Pink pepper","Lotus, Rose","Vanilla, Amber, Patchouli, Musk"
Lady Emblem L'Eau,Montblanc,F,2017,"Lychee, Mandarin orange leaf, White peach","Rose, Magnolia","Musk, Cedar, Resins"
Vetiver Glacier,Montblanc,F,2024,,,
Homme Exceptionnel,Montblanc,M,2008,"Coffee, Lavender, Mandarin orange","Ginger, Mint, Sage","Amber, Musk, Patchouli, Vanilla"
Starwalker Extreme,Montblanc,M,2021,"Pineapple, Apple, Bamboo, Lemon, Mandarin orange","Cedar, Geranium, Lavender, Marine notes","Ginger, Nutmeg, Patchouli, Sandalwood, Tonka bean"
Star Oud,Montblanc,F,2025,,,
Legend Special Edition 2012,Montblanc,M,2012,"Bergamot, Ginger flower, Mandarin orange, Mint","Jasmine, Lavender, Rose","Ambergris, Oakmoss, Sandalwood, Tonka bean"
Femme Individuelle Special Edition Soul & Senses,Montblanc,F,2007,"Almond blossom, Dill, Mandarin orange","Frangipani, Peach, Rose","Amber, Cedar, Clover"
Emblem Absolu,Montblanc,M,2017,"Mandarin orange, Pear, Cardamom","Fruits, Honey, Lavender, Pink pepper","Patchouli, Vetiver, Crystallised moss"
Femme de Montblanc,Montblanc,F,EAU DE TOILETTE,"Bergamot, Cardamom, Cinnamon, Pineapple","Heliotrope, Jasmine, Orange blossom, Rose","Dark chocolate, Musk, Raspberry, Amber, Patchouli, Vetiver, Peach"
Legend pour Femme Special Edition 2014,Montblanc,F,2014,"Bitter orange, Lychee, Peony","Jasmine, Orange blossom","Musk, Woods"
Présence Cool,Montblanc,M,2002,"Bergamot, Granny Smith apple","Geranium, Jasmine","Amber, Patchouli, Sandalwood, Tonka bean, White musk"
Legend Special Edition 2013,Montblanc,M,2013,"Ginger, Spearmint","Jasmine, Pomarose®, White cedar","Ambrofix, Evernyl, Sandalwood, Tonka bean"
Signature Elixir,Montblanc,F,2025,Red orchid,"Resins, Vanilla absolute",Amberwood
Individuel Tonic,Montblanc,M,,,,
Starwalker,Montblanc,M,2005,"Bamboo, Bergamot, Mandarin orange","Fir resin, Ginger, Nutmeg, Amber","Sandalwood, Cedar, Musk"
Legend Special Edition 2014,Montblanc,M,2014,,,
Lady Emblem Elixir,Montblanc,F,2016,"Mandarin orange, Pepper","Damask rose absolute, Iris, Orange blossom","Patchouli, Sandalwood, Vanilla"
Individuel,Montblanc,M,2003,"Juniper berry, Bergamot, Cinnamon, Lavender, Mint, Coriander, Rosemary","Geranium, Orange blossom, Jasmine, Violet","Raspberry, Vanilla, Amber, Musk, Oakmoss, Patchouli, Sandalwood, Tonka bean, Dark chocolate, Vetiver"
Legend,Montblanc,M,BODY SPRAY,"Bergamot, Citrus fruits, Lavender","White cedar, Jasmine, Rose","Evernyl, Tonka bean, Sandalwood"
Legend,Montblanc,M,2011,"Bergamot, Citrus fruits, Lavender","White cedar, Jasmine, Rose","Evernyl, Tonka bean, Sandalwood"
Présence d'Une Femme Intense,Montblanc,F,2004,"Lotus, Mandarin orange, Pepper, Pineapple","Caramel, Lotus","Patchouli, Rosewood, Sandalwood, Vanilla"
Homme Exceptionnel,Montblanc,M,2008,"Coffee, Lavender, Mandarin orange","Ginger, Mint, Sage","Amber, Musk, Patchouli, Vanilla"
Présence,Montblanc,M,2001,"Cinnamon, Cardamom, Ginger, Bergamot","Apple, Heliotrope, Sage","Sandalwood, Tonka bean, Amber, Musk, Teakwood"
Signature,Montblanc,F,HAIR MIST,Clementine,"Magnolia, Ylang-ylang, Peony","White musk, Vanilla, Benzoin"
Legend Calligraphy Edition,Montblanc,M,2015,,,
