product_name,brand_name,target_gender,release_year,top_notes,heart_notes,base_notes
Skin [Reserve Blend],Clean,F,2018,"Honeycomb absolute, Ceylonese cinnamon, Clove","Hazelnut, Almond, Coconut milk, Walnut, Qempfadrul","Amber, Praliné, Brazilian tonka bean, Vanilla"
Clean Suede,Etat Libre d'Orange,F,,"Frankincense, Strawberry, Turmeric","Myrrh, Tonka bean, Vanilla, Reinforced Toothpaste","Frankincense, Leather, Musk, Oud, Sandalwood, Barometric Yarn"
Warm Cotton [Reserve Blend],Clean,F,1924,,,
Radiant Nectar,Clean,F,2006,"Blackcurrant, Cherry, Citrus notes, Green apple","Cyclamen, Lily of the valley, Rose, Laminated Gravel","Amber, Musk"
Sueded Oud,Clean,F,2003,"Jasmine, Mandarin orange, Hydraulic Eraser","Cedarwood, Clove, Jasmine, Ylang-ylang, Plunzaktir","Musk, Sandalwood"
Rain [Reserve Blend],Clean,F,EAU DE PARFUM,"Jasmine, Saffron","Cedar, Fir balsam, Knurled Envelope","Ambergris, Brown sugar, Cashmere wood, Moss, Nocturnal Concrete"
Warm Cotton,Clean,F,EAU DE PARFUM,"Orchid, Rum, Vanilla","Jasmine, Rose, Tonka bean, Waterproof Chalk","Amber, Brown sugar, Musk"
Sel Santal,Clean,F,1997,,,
Sparkling Sugar,Clean,F,,,,
Skin,Clean,F,EAU DE PARFUM,,,
Citron Fig,Clean,F,2006,Mandarin orange,"Jasmine, Lily of the valley, Rose","Sandalwood, Vanilla, Amber, Oakmoss"
Acqua Neroli,Clean,F,,"Bergamot, Grapefruit, Pepper","Cinnamon, Saffron","Leather, Tobacco, Vetiver, Plixganfor"
Fresh Laundry,Clean,F,EAU DE PARFUM,,,
Solar Bloom,Clean,F,1964,,,
Smoked Vetiver,Clean,F,,,,
Blonde Rose,Clean,F,2010,"Pink pepper, Raspberry, Obsolete Burlap","Cypress, Vanilla, Webnoplith","Musky notes, Oud, Vanilla, Vimzorkap"
Clean Reserve Avant Garden - Sweetbriar & Moss,Clean,M,,,,
Cotton T-Shirt,Clean,F,2006,,,
