product_name,brand_name,target_gender,release_year,top_notes,heart_notes,base_notes
Dior Homme Intense,Dior,M,2011,Florentine iris absolute,Ecuadorian ambrette seed,Virginia cedar
Sauvage Elixir,Dior,M,2021,"Nutmeg, Cardamom, Cinnamon, Grapefruit",Provençal lavender,"Liquorice, Amber notes, Patchouli, Woods, Haitian vetiver"
Sauvage,Dior,M,2015,,,
Dior Homme Intense,Dior,M,2011,Florentine iris absolute,Ecuadorian ambrette seed,Virginia cedar
Sauvage,Dior,M,2015,,,
Fahrenheit,Dior,M,1988,"Cedar, Chamomile, Lavender, Mandarin orange, Bergamot, Hawthorn, Lemon, Mace","Violet leaf, Cedar, Nutmeg, Carnation, Honeysuckle, Jasmine, Lily of the valley, Sandalwood","Leather, Musk, Patchouli, Vetiver, Amber, Tonka bean"
Dior Homme Parfum,Dior,M,2014,,,
Ambre Nuit,Dior,F,2009,"Bergamot, Grapefruit","Pink pepper, Turkish rose","Amber, Cedar, Gaiac wood, Patchouli"
Hypnotic Poison,Dior,F,1998,"Bitter almond, Coconut, Apricot, Pimento, Plum","Jasmine sambac, Tuberose, Lily of the valley, Rose, Rosewood","Vanilla, Sandalwood"
Dior Homme Original,Dior,M,2011,"Lavender, Sage, Bergamot","Florentine iris absolute, Cocoa, Amber, Guatemala cardamom","Haitian vetiver, Leather, Patchouli"
Gris Dior,Dior,F,2013,,,
Dior Homme,Dior,M,2020,"Bergamot, Elemi resin, Pink pepper","Atlas cedar, Patchouli","Haitian vetiver, Musk"
Bois d'Argent,Dior,F,2004,Yemenite frankincense,"Somalian myrrh, Florentine iris absolute, Indonesian patchouli","Woody notes, Honey, Amber, White musk, Leather"
J'adore,Dior,F,1999,Comorian ylang-ylang,Damask rose,"Jasmine sambac, Grasse jasmine"
Dior Homme Cologne,Dior,M,2013,Calabrian bergamot,Moroccan grapefruit blossom,White musk
Eau Sauvage,Dior,M,1966,"Lemon, Bergamot, Basil, Lavender, Rosemary, Cumin, Fruity notes","Carnation, Coriander, Jasmine, Patchouli, Sandalwood, Orris root, Rose","Oakmoss, Musk, Vetiver, Amber"
Dior Homme Sport,Dior,M,2021,"Italian lemon, Aldehydes, Calabrian bergamot","Elemi resin, Pink pepper","Frankincense, Amber, Woods"
Fève Délicieuse,Dior,F,2015,,,
Eau Sauvage Parfum,Dior,M,2017,"Calabrian bergamot, Orange","Lavender absolute, Hedione, Wild flowers","Philippine elemi, Vetiver, Labdanum, Cinnamon, Star anise"
Dior Addict,Dior,F,2014,"Mandarin orange leaf, Tunisian orange blossom",Jasmine sambac absolute,Bourbon vanilla
Sauvage Parfum,Dior,M,2019,"Mandarin orange, Calabrian bergamot","Sichuan pepper, Lavender, Nutmeg","Ambroxan, Ceylonese sandalwood, Tonka bean, Virginia cedar, Papua New Guinean vanilla absolute, Patchouli"
Fahrenheit Parfum,Dior,M,2014,"Lavender, Pink pepper, Sicilian mandarin orange, Lemon","Leather, Violet leaf","Bourbon vanilla absolute, Benzoin, Amber, Birch, Gaiac wood, Patchouli, Cedarwood, Vetiver"
Vanilla Diorama,Dior,F,2021,,,
Pure Poison,Dior,F,2004,"Jasmine, Bergamot, Mandarin orange, Orange","Gardenia, Neroli","Sandalwood, White amber, Cedar"
Dior Homme Parfum,Dior,M,2024,,,
Oud Ispahan,Dior,F,2012,Labdanum,Patchouli,"Oud, Rose, Sandalwood"
Tobacolor,Dior,F,2021,,,
Poison Girl,Dior,F,2016,,,
Dune,Dior,F,1991,"Aldehydes, Mandarin orange, Brazilian rosewood, Bergamot, Peony","Ylang-ylang, Jasmine, Lily, Rose","Sandalwood, Ambergris, Benzoin, Musk, Oakmoss, Patchouli, Vanilla"
Dior Addict,Dior,F,2002,"Mandarin orange leaf, Blackberry","Queen-of-the-night, Jasmine, Orange blossom, Rose","Bourbon vanilla, Sandalwood, Tonka bean"
Eau Sauvage Parfum,Dior,M,2012,Calabrian bergamot,Somalian myrrh,Haitian vetiver
Poison,Dior,F,1985,"Orange honey, Coriander, Plum, Pimento, Rosewood, Wild berries, Aniseed","Tuberose, Carnation, Opoponax, Frankincense, Jasmine, Neroli, Cinnamon, Rose","Heliotrope, Vanilla, Amber, Cedar, Musk, Sandalwood, Vetiver"
Midnight Poison,Dior,F,2007,"Bergamot, Mandarin orange",Rose,"Patchouli, Amber, Vanilla"
Hypnotic Poison,Dior,F,2014,,,
Miss Dior Blooming Bouquet,Dior,F,2014,"Calabrian bergamot, Sicilian mandarin orange","Peony, Damask rose, Lily of the valley",White musk
Dior Homme Sport,Dior,M,2012,"Citron, Ginger",Iris,"Cedar, Green notes"
Dolce Vita,Dior,F,1995,"Magnolia, Lily of the valley, Rose","Apricot, Peach, Cinnamon","Sandalwood, Vanilla, Heliotrope"
Forever and ever Dior,Dior,F,2006,"Freesia, Ivy, Jasmine","Rose, Almond blossom, Geranium","Musk, Nutmeg, Vanilla"
Miss Dior,Dior,F,2021,"Peony, Iris, Lily of the valley",Rosa centifolia,"Musk, Benzoin, Papua New Guinean vanilla, Sandalwood, Tonka bean"
Dior Homme Eau for Men,Dior,M,2014,"Moroccan grapefruit, Calabrian bergamot, Crimean coriander",Florentine iris absolute,Virginia cedar
J'adore Parfum d'Eau,Dior,F,2022,,,
Dior Homme Intense,Dior,M,2007,,,
